id,category,scene,page_url,image_url,creator,license,license_url,curated_on,coco_lineage_check,original_path,test_path,original_format,original_mode,original_width,original_height,embedded_icc,crop_box_ltrb,test_width,test_height,test_mode,test_format,test_bit_depth,test_icc_profile,test_has_alpha,mean_channel_difference,visual_grayscale_flag,edge_variance,original_sha256,test_sha256,crop_scale,focus_y,focus_x
face_01,face,outdoor portrait,https://unsplash.com/photos/woman-in-black-tank-top-Akd6ieQgSAA,https://images.unsplash.com/photo-1612693624187-8410bdd786f8,AnimGraph Lab,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_01.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_01.png,JPEG,RGB,3265,4898,True,"0,816,3265,4081",512,512,RGB,PNG,8,sRGB,False,27.026,False,690.108,f291227aa5f119a3eae95c841deb9bbc2f4a411bc8d5aea392ad2610ec4ff742,7d5854099454b7d729890e13c79f93b3fe02c37e88041e84d0b8cbd09d5cff6b,,,
face_02,face,portrait by trees,https://unsplash.com/photos/woman-in-black-long-sleeve-shirt-standing-near-green-trees-during-daytime-IaZzCwwy5c4,https://images.unsplash.com/photo-1598700373821-c65ca5d5e86d,Agnes Bilik,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_02.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_02.png,JPEG,RGB,3267,3447,True,"735,549,2532,2346",512,512,RGB,PNG,8,sRGB,False,29.373,False,929.929,a887544714011096c808ae521b87e503561d553d543d8e6c59debc48213a7c02,4df2507af9eecde78e9f17203986f037215c616716bfd716252d46c5b43fe552,0.55,0.42,
face_03,face,smiling outdoor portrait,https://unsplash.com/photos/woman-in-black-and-white-striped-shirt-AJIqZDAUD7A,https://images.unsplash.com/photo-1619895862022-09114b41f16f,Vince Veras,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_03.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_03.png,JPEG,RGB,6000,4000,True,"1000,0,5000,4000",512,512,RGB,PNG,8,sRGB,False,26.267,False,2324.528,161eea4f391cd4cde91f0c4568ca24ef0b813a1c9d4a427d51a3f99ca58ea14d,979baa67852d0eb9d44b673c7ecba2e1ea591bdc554e1b913c11f62603ad0aee,,,
face_04,face,serene sky portrait,https://unsplash.com/photos/thZ0NKsJn5s,https://images.unsplash.com/photo-1748371051131-6d6ee193c536,Zulfugar Karimov,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_04.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_04.png,JPEG,RGB,4000,6000,True,"800,480,3200,2880",512,512,RGB,PNG,8,sRGB,False,25.219,False,880.401,afc77258f30c4e73859ff0af12b9c853abcbf42691b246d40b53859d82d999a1,1333dc786c2358cd4ece3c27681d715d0d47664251a4cae19a70a8383cd719e7,0.6,0.28,
face_05,face,urban outdoor portrait,https://unsplash.com/photos/a-woman-in-a-black-top-is-posing-for-a-picture-nTxcNMMT8B8,https://images.unsplash.com/photo-1648786219637-242e7ac07520,Brock Wegner,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_05.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_05.png,JPEG,RGB,4618,5772,True,"1039,577,3579,3117",512,512,RGB,PNG,8,sRGB,False,33.53,False,1731.368,ad1dcdfd2eef2a36c102edd2399e373e0d9f6fefc60ffd4b7d49d9524f91c00f,23d13558982ae5c9b57af2909998d417df704ee51fa8fdd26066fd0c3151d1f5,0.55,0.32,
face_06,face,male portrait foliage,https://unsplash.com/photos/a-man-with-a-black-shirt-and-a-bush-in-the-background-WpKYyQ8hOpw,https://images.unsplash.com/photo-1680104073282-8462cdf70b6a,Mohamed Elwaid,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_06.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_06.png,JPEG,RGB,3808,4760,True,"0,476,3808,4284",512,512,RGB,PNG,8,sRGB,False,18.628,False,749.739,0be7acd9c03efe5edcb56d5cf46c73e51dc82744ffa7553aae3ebc9025cc6552,27df35cc77ac555b9a9fd36329bf135f576a194881447888d27912f7943c7db7,,,
face_07,face,male slight-turn portrait,https://unsplash.com/photos/a-man-with-no-shirt-on-posing-for-a-picture-O4dimEMc31A,https://images.unsplash.com/photo-1657641853320-a8c0241ba9c3,Natalia Churina,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_07.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_07.png,JPEG,RGB,4672,7008,True,"584,701,4088,4205",512,512,RGB,PNG,8,sRGB,False,19.28,False,1087.613,8c8426c0d96172ecdad48ad5f241caf7d82f77954865086806b42434b4c9956c,d16efa8d7acaa6a1f4b3f8b9086e03023e9ea457f447e2efb057b372d594f437,0.75,0.35,
face_08,face,male park portrait,https://unsplash.com/photos/5ANlLcdROyU,https://images.unsplash.com/photo-1754051322402-602ee67a6442,Luke Thornton,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_08.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_08.png,JPEG,RGB,6000,4002,True,"1640,160,4361,2881",512,512,RGB,PNG,8,sRGB,False,26.199,False,975.04,657a0eb04d536706c328dc2fe6e9110aebe1067bfdeb35479464067267b00a1f,4e32754cf4f68faad0bee70c5900a4875cdd702a91cb65cb61abeea8dc164b6d,0.68,0.38,
face_09,face,male portrait beside tree,https://unsplash.com/photos/man-standing-near-to-tree-BI91NrppE38,https://images.unsplash.com/photo-1508341591423-4347099e1f19,Ana Nichita,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_09.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_09.png,JPEG,RGB,3265,4898,True,"572,653,2694,2775",512,512,RGB,PNG,8,sRGB,False,25.109,False,1213.708,b228d0659eb82b85ab987f32a4181a66f846abd68c4e00e4ce99e52dd62dab20,c3d26c81a863fe9761ce9b7d0789bf8693e421dfe28819b40b26ee327baa9b86,0.65,0.35,
face_10,face,smiling summer portrait,https://unsplash.com/photos/a-person-holding-a-frisbee-9stxYiM43a4,https://images.unsplash.com/photo-1655161903556-f3379ad51fee,Priscilla Du Preez,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/face/face_10.jpg,D:/coding/FOT/datasets/fot_real50/test_512/face/face_10.png,JPEG,RGB,2155,3073,True,"485,575,1670,1760",512,512,RGB,PNG,8,sRGB,False,26.98,False,1244.621,43413391b33d8d9c404f104ed6609df21d4d704c59af543f53657492ac764dea,3a6d2482670dae2f9766360a3b59b8950abc392bc45c91fb1d3e16ebaf221060,0.55,0.38,
